O1,O2,T3,T4
0.307389743,0.246373221,0.152760842,0.2626845
0.306590182,0.245946737,0.152353051,0.262240851
0.305754,0.245454259,0.1519506,0.26173731
0.304987245,0.245029302,0.151592781,0.261297094
0.304225067,0.244601674,0.151210548,0.260851918
0.303464798,0.244193501,0.150843192,0.260428486
0.302672866,0.243731922,0.150488806,0.259956226
0.301949598,0.243335575,0.150127554,0.259556064
0.30122862,0.24294266,0.149787664,0.259145984
0.300499631,0.242538684,0.149434804,0.258736285
0.29975729,0.242091219,0.149098729,0.258284624
0.299064921,0.24171776,0.148771809,0.257908113
0.298391245,0.241353074,0.148440312,0.257532365
0.297697733,0.240959397,0.148103855,0.257107408
0.297017572,0.24058136,0.147775028,0.256701524
0.296359917,0.240233841,0.147445056,0.256346375
0.295736213,0.23991188,0.147141406,0.256005341
0.295062919,0.239517059,0.146860263,0.255594879
0.294426245,0.239154281,0.146552035,0.255232864
0.29378652,0.238797606,0.146236559,0.254884963
0.29316892,0.238469161,0.145921083,0.254545073
0.292530339,0.238089216,0.145622774,0.254141478
0.291950886,0.2377787,0.145332857,0.25382295
0.291371814,0.237461317,0.145055528,0.253504804
0.290777102,0.237138593,0.144772858,0.253180173
0.290172091,0.236790311,0.144515366,0.252809766
0.289615907,0.236503445,0.144239945,0.25252023
0.289058198,0.236191784,0.143969482,0.252215817
0.288494004,0.235875164,0.143688339,0.25186906
0.28793515,0.235571895,0.143411773,0.251544048
0.287384689,0.235282741,0.143157333,0.251255657
0.286868178,0.235010753,0.142904036,0.250989772
0.286311232,0.234686503,0.142655699,0.250638438
0.28580464,0.234410319,0.142402022,0.250348521
0.285283552,0.234147104,0.142145674,0.250072336
0.284781918,0.233891519,0.141897718,0.249797678
0.284253201,0.233576425,0.141666929,0.249465036
0.283775219,0.233336099,0.141416303,0.249212884
0.283287319,0.233079751,0.141178647,0.24895997
0.282796748,0.232816537,0.140958158,0.248688363
0.282299311,0.232528908,0.140743008,0.248380135
0.281824762,0.232272179,0.140518704,0.248132179
0.281364709,0.232013924,0.140303173,0.247892235
0.280886727,0.231725914,0.140078488,0.247592018
0.280441933,0.231471855,0.139841595,0.247319648
0.280014305,0.231254417,0.139642849,0.247095344
0.279578285,0.231027824,0.139445629,0.246884772
0.279084663,0.230726462,0.139244975,0.246574637
